REFRIGERANT,T_1_K,T_3_K,P_1,P_3,S_1,H_1,S_3,H_3,P_4,P_2,S_4,H_2_ISENTROPIC,H_4_ISENTROPIC,T_1,T_3
R134a,275.15,308.15,314619.437547,886980.983608,1009.75939346,202.69240345,1712.78756053,417.188643326,314619.437547,886980.983608,1712.78756053,203.136473299,396.13060362,2.0,35.0
R134a,275.15,309.15,314619.437547,911849.178828,1009.75939346,202.69240345,1712.44528141,417.647597127,314619.437547,911849.178828,1712.44528141,203.155755615,396.036425519,2.0,36.0
R134a,275.15,310.15,314619.437547,937237.378849,1009.75939346,202.69240345,1712.10144287,418.101210761,314619.437547,937237.378849,1712.10144287,203.175440124,395.941818346,2.0,37.0
R134a,275.15,311.15,314619.437547,963152.656639,1009.75939346,202.69240345,1711.7555542,418.54933847,314619.437547,963152.656639,1711.7555542,203.195532247,395.846647079,2.0,38.0
R134a,275.15,312.15,314619.437547,989602.141781,1009.75939346,202.69240345,1711.40711293,418.991828796,314619.437547,989602.141781,1711.40711293,203.216037446,395.750773463,2.0,39.0
R134a,275.15,313.15,314619.437547,1016593.02212,1009.75939346,202.69240345,1711.05560394,419.428524247,314619.437547,1016593.02212,1711.05560394,203.236961229,395.654055766,2.0,40.0
R134a,275.15,314.15,314619.437547,1044132.54554,1009.75939346,202.69240345,1710.70049856,419.859260941,314619.437547,1044132.54554,1710.70049856,203.258309145,395.556348518,2.0,41.0
R134a,275.15,315.15,314619.437547,1072228.02182,1009.75939346,202.69240345,1710.3412535,420.28386822,314619.437547,1072228.02182,1710.3412535,203.280086789,395.457502242,2.0,42.0
R134a,275.15,316.15,314619.437547,1100886.82474,1009.75939346,202.69240345,1709.97730986,420.70216824,314619.437547,1100886.82474,1709.97730986,203.302299803,395.357363148,2.0,43.0
R134a,275.15,317.15,314619.437547,1130116.39414,1009.75939346,202.69240345,1709.60809188,421.113975521,314619.437547,1130116.39414,1709.60809188,203.324953878,395.255772821,2.0,44.0
R134a,275.15,318.15,314619.437547,1159924.23834,1009.75939346,202.69240345,1709.23300575,421.519096472,314619.437547,1159924.23834,1709.23300575,203.348054755,395.152567874,2.0,45.0
R134a,275.15,319.15,314619.437547,1190317.93655,1009.75939346,202.69240345,1708.85143826,421.917328869,314619.437547,1190317.93655,1708.85143826,203.371608227,395.047579579,2.0,46.0
R134a,275.15,320.15,314619.437547,1221305.14157,1009.75939346,202.69240345,1708.46275532,422.308461296,314619.437547,1221305.14157,1708.46275532,203.395620141,394.940633468,2.0,47.0
R134a,275.15,321.15,314619.437547,1252893.5826,1009.75939346,202.69240345,1708.06630042,422.692272538,314619.437547,1252893.5826,1708.06630042,203.420096401,394.831548901,2.0,48.0
R134a,275.15,322.15,314619.437547,1285091.06834,1009.75939346,202.69240345,1707.66139289,423.068530916,314619.437547,1285091.06834,1707.66139289,203.445042967,394.720138594,2.0,49.0
R134a,275.15,323.15,314619.437547,1317905.49004,1009.75939346,202.69240345,1707.24732613,423.436993587,314619.437547,1317905.49004,1707.24732613,203.470465864,394.606208124,2.0,50.0
R134a,275.15,324.15,314619.437547,1351344.82532,1009.75939346,202.69240345,1706.8233655,423.797405742,314619.437547,1351344.82532,1706.8233655,203.496371178,394.489555358,2.0,51.0
R134a,275.15,325.15,314619.437547,1385417.14167,1009.75939346,202.69240345,1706.38874622,424.149499773,314619.437547,1385417.14167,1706.38874622,203.52276506,394.369969862,2.0,52.0
R134a,275.15,326.15,314619.437547,1420130.60047,1009.75939346,202.69240345,1705.94267093,424.492994339,314619.437547,1420130.60047,1705.94267093,203.549653733,394.247232246,2.0,53.0
R134a,275.15,327.15,314619.437547,1455493.46133,1009.75939346,202.69240345,1705.48430711,424.827593356,314619.437547,1455493.46133,1705.48430711,203.577043492,394.121113441,2.0,54.0
R134a,275.15,328.15,314619.437547,1491514.0867,1009.75939346,202.69240345,1705.01278421,425.152984879,314619.437547,1491514.0867,1705.01278421,203.604940706,393.991373916,2.0,55.0
R134a,275.15,329.15,314619.437547,1528200.94676,1009.75939346,202.69240345,1704.52719053,425.468839884,314619.437547,1528200.94676,1704.52719053,203.633351827,393.857762815,2.0,56.0
R134a,275.15,330.15,314619.437547,1565562.62476,1009.75939346,202.69240345,1704.02656974,425.774810924,314619.437547,1565562.62476,1704.02656974,203.662283388,393.720017004,2.0,57.0
R134a,275.15,331.15,314619.437547,1603607.82278,1009.75939346,202.69240345,1703.50991708,426.070530648,314619.437547,1603607.82278,1703.50991708,203.691742011,393.577860025,2.0,58.0
